,RMSE
0,0.7255084346488867
1,0.7255084346488867
2,0.7255084346488867
3,0.7255084346488867
4,0.6453480771870137
5,0.6453480771870137
6,0.6453480771870137
7,0.6453480771870137
8,0.6453480771870137
9,0.6453480771870137
10,0.6453480771870137
11,0.6453480771870137
12,0.5173524897506151
13,0.5173524897506151
14,0.5173524897506151
15,0.5173524897506151
16,0.5173524897506151
17,0.5173524897506151
18,0.5173524897506151
19,0.5173524897506151
20,0.5173524897506151
21,0.5173524897506151
22,0.5173524897506151
23,0.5173524897506151
24,0.5173524897506151
25,0.5173524897506151
26,0.5173524897506151
27,0.5173524897506151
28,0.5173524897506151
29,0.5173524897506151
30,0.32336404963115806
31,0.32336404963115806
32,0.32336404963115806
33,0.32336404963115806
34,0.32336404963115806
35,0.32336404963115806
36,0.32336404963115806
37,0.32336404963115806
38,0.32336404963115806
39,0.32336404963115806
40,0.29309604898565805
41,0.29309604898565805
42,0.29309604898565805
43,0.29309604898565805
44,0.29309604898565805
45,0.29309604898565805
46,0.29309604898565805
47,0.29309604898565805
48,0.29309604898565805
49,0.29309604898565805
