,RMSE
0,0.33074771185010327
1,0.33074771185010327
2,0.33074771185010327
3,0.33074771185010327
4,0.24485156871020877
5,0.24485156871020877
6,0.24485156871020877
7,0.24485156871020877
8,0.24485156871020877
9,0.24485156871020877
10,0.24485156871020877
11,0.24485156871020877
12,0.24485156871020877
13,0.24485156871020877
14,0.24485156871020877
15,0.24485156871020877
16,0.24485156871020877
17,0.24422794999820166
18,0.24422794999820166
19,0.24422794999820166
20,0.24422794999820166
21,0.24422794999820166
22,0.24422794999820166
23,0.24422794999820166
24,0.24422794999820166
25,0.24422794999820166
26,0.24422794999820166
27,0.24422794999820166
28,0.24422794999820166
29,0.24422794999820166
30,0.24422794999820166
31,0.24422794999820166
32,0.24422794999820166
33,0.23449174771763737
34,0.23449174771763737
35,0.23449174771763737
36,0.23449174771763737
37,0.23449174771763737
38,0.23449174771763737
39,0.23449174771763737
40,0.2267387009683321
41,0.2267387009683321
42,0.2267387009683321
43,0.2267387009683321
44,0.2267387009683321
45,0.2267387009683321
46,0.2267387009683321
47,0.2203219106023223
48,0.2203219106023223
49,0.2203219106023223
